Strain_name|origin_geographic_area|origin_locality|origin_habitat|origin_sample_date|temperature|ph|salinity|salinity_unit|latitude|longitude|depth|
>E13p11|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc102|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|11/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>AMTc11|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|01/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2634|
>IRI57a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E14d7|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI27c2|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E14d8|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc16|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|03/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2629|
>IRI31b|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E10p4|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E4d8|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E13p2|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc66|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|12/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E14d9|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E10p2|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E2p3|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>IRI03c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>AMTc50|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|09/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>AMTc72|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2631|
>E14d12|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI10c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>IRI50a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E14d6|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc99|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|10/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E1d5|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>GE19|||Hydrothermal fluid||85|7|2,5|% NaCl||||
>AMTc71|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2631|
>E11d1|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p35|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E14d5|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc92|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|02/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>AMTc87|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|01/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2634|
>E13p6|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI45a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E15p9|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>CIR10a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E15d21|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p10|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc26|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>E2p9|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc49|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|09/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>GE07|||||85|6,8|23|g/L NaCl||||
>E4d2|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E2p1|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E2p13|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E2p7|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E15p1|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc62|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|12/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>CIR03a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E12d13|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>CIR16a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>IRI37c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>AMTc57|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|11/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2624|
>AMTc101|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|11/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E10p11|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>IRI30c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E15p4|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E2p5|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>CIR12a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>IRI24c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>IRI58a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc10|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|01/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2634|
>E13p3|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI15c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>AMTc54|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|10/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E12d5|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E2p12|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>546|||||85|6,8|23|g/L NaCl||||
>IRI35c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>EXT07c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>E4d7|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E10p9|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>IRI48a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>IRI47a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>EXT12c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|25/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>AMTc13|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|02/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>IRI52a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc17|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|03/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2629|
>E15p27|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>CIR07a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E15d15|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E1d8|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>IRI40b|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>GE08|||Hydrothermal-fluid||85|7|2,5|%-NaCl|||2000|
>AMTc47|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|09/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>AMTc78|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|14/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2634|
>AMTc33|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E4p13|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E15d22|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15d17|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI21c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|28/05/2001|85|6,8|23|g/L-NaCl|36°13'41"N|33°53'41"W|2338|
>E14p15|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E2p11|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc36|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E15d19|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p7|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc21|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|06/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2625|
>E13p4|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
